reference,generated_summary
Hannah needs Betty's number but Amanda doesn't have it. She needs to contact Larry.,Hannah doesn't have Betty's number. Amanda asks Larry to call her. Hannah doesn't know Larry very well. Amanda will text him.
Eric and Rob are going to watch a stand-up on youtube.,Rob will watch some stand-up comedy by Russian comedian on YouTube. Eric likes the train part of the show. Rob and Eric will watch it together.
Lenny can't decide which trousers to buy. Bob advised Lenny on that topic. Lenny goes with Bob's advice to pick the trousers that are of best quality.,"Lenny will buy the first or the third pair of purple trousers. Bob likes the first ones best, but he has four black pairs."
Emma will be home soon and she will let Will know.,Emma will be home soon. She will tell Will what she wants for dinner tonight. Will will pick her up from home.
Jane is in Warsaw. Ollie and Jane has a party. Jane lost her calendar. They will get a lunch this week on Friday. Ollie accidentally called Jane and talked about whisky. Jane cancels lunch. They'll meet for a tea at 6 pm.,Jane is back from Morocco. Ollie and Jane will have lunch on Friday. They will meet tomorrow at 6 pm. Jane will bring the pastries.
Hilary has the keys to the apartment. Benjamin wants to get them and go take a nap. Hilary is having lunch with some French people at La Cantina. Hilary is meeting them at the entrance to the conference hall at 2 pm. Benjamin and Elliot might join them. They're meeting for the drinks in the evening.,"Hilary will give the keys to Daniel, Benjamin and Elliot. They will meet at 2 pm at the entrance to the conference hall to have lunch with French people who work on the history of food in colonial Mexico."
Payton provides Max with websites selling clothes. Payton likes browsing and trying on the clothes but not necessarily buying them. Payton usually buys clothes and books as he loves reading.,"Max will check out some good sites to buy clothes from. Payton likes browsing, trying on, looking in the mirror and seeing how she looks, but not always buying. Max and Payton don't like shopping, but they do like reading."
Rita and Tina are bored at work and have still 4 hours left.,"Rita and Tina are tired and bored at work. They are not cut out for this level of boredom, neither is Rita nor Tina."
"Beatrice wants to buy Leo a scarf, but he doesn't like scarves. She cares about his health and will buy him a scarf no matter his opinion.",Leo doesn't want to buy a scarf because he doesn't like them. Beatrice will buy one for him as he had a cold last winter.
Eric doesn't know if his parents let him go to Ivan's brother's wedding. Ivan will talk to them.,Eric doesn't know if he will come to Ivan's brother's wedding because he has a lot to do at home. Ivan will take care of his parents.
Wanda wants to throw a party. She asks Gina to borrow her father's car and go do groceries together. They set the date for Friday. ,Wanda and Gina are going to a party on Friday. Wanda will make a list. Gina will take her father's car and go shopping with Wanda.
Martin wrote a short review and won 2 cinema tickets on FB. Martin wants Aggie to go with him this week for the new film with Redford.,Martin won two cinema tickets for the new film with Redford. Aggie and Martin will go to the cinema to see it together.
Charlee is attending Portuguese theater as a subject at university. He and other students are preparing a play by Mrożek translated into Portuguese.,Charlee is in a theatre class at the university. They are preparing a performance of a polish one translated into Portuguese
"Ella rented a car, this makes things much faster for her and Tom. ",. Ella rented a car.
Paul is going to share his Netflix account with Luke. In exchange Luke is going to contribute to the subscription. Paul will send Luke his bank details. Paul is on vacation with his girlfriend till tomorrow.,Luke will send Paul the login and password on Sunday. Paul will send him the bank account details so Luke can wire him the money every month. Paul is still on holidays with his girl.
"Greg and Betsy have a lot of work today, so they cannot pick up Johnny from the kindergarten. However, it's Greg's turn to do it. Greg will try to find a solution.",Betsy can't pick up Johnny because she needs to work long hours. Greg will see if he can pick him up from the kindergarten.
"Ethan, Toby and Marshall are making fun of Scott.","Ethan, Toby, Marshall and Scott are making fun of Scott for something he did"
Igor has a lot of work on his notice period and he feels demotivated. John thinks he should do what he has to do nevertheless. ,Igor has a lot of work to do at work. He's on a two-week notice period. John advises him to focus on his work.
Clara is rewatching Dear White People and strongly recommends it to Neela.,"Clara is watching Dear White People on Netflix. Neela hasn't seen it yet, but she will watch it soon. The series is about a fictional Ivy League University and the students in one House of Residence."
Mike took his car into garage today. Ernest is relieved as someone had just crashed into a red Honda which looks like Mike's. ,Mike took his car into the garage today. Someone crashed into a red
Beth wants to organize a girls weekend to celebrate her mother's 40th birthday. She also wants to work at Deidre's beauty salon. Deidre offers her a few hours on Saturdays as work experience. They set up for a meeting tomorrow.,"Beth wants to try a bit of work experience in the salon. Deirdre will give her a few hours on a Saturday for a couple of weeks as work experience. Beth will meet Maxine, who manages the beauty side of the salon, tomorrow after school."
Gloria has an exam soon. It lasts 4 hours. Emma sent her a link to a website with some texts from previous years so that she can prepare for the exam better.,Gloria and Emma are preparing for the exam. They have 4 hours for all 4 parts. They will read all the texts carefully and correct during the last hour.
Adam and Karen are worried that May suffers from depression. Karen will call her friend who is a psychologist and ask for advice. ,"Adam and Karen worry about May. Karen suggested she should see a specialist, but she doesn't want to see anyone. Karen will call a psychologist for advice."
Mark lied to Anne about his age. Mark is 40.,"Mark lied to Anne that he's 30, but his passport shows he's 40. "
"Next week is Wharton's birthday. Augustine, Darlene, Heather and Walker want to buy him a paper shredder. Walker will make sure if Wharton really wants it. ","It's Wharton's birthday next week. Darlene, Heather and Walker will buy a paper shredder for him. They will ask him about it at the party."
"Kelly is scared of sculpture garden figures in Finnland, she finds figure's faces morbid. For Ollie it's Nagoro village in Japan, it's creepy. ",Kelly's place is a sculpture garden in Finnland. Ollie's place in Nagoro village in Japan is similar to Kelly's place. Jessica's place has human-sized figures. Mickey and Jessica don't want to go.
Selah called a person that did not pick up.,Selah can't see the phone number
Bella and Eric dismissed a request of a client. Their boss appreciated the decision. He brings in new clients.,Bella and Eric were astounded by their boss's reaction to their decision to dismiss a request from a potential client. He was looking forward to bring in new clients.
Emma is about to take a nap in the back of the bus to New York. Ben and Emma will be there around 4.30 pm. Ben will wake Emma up 15 minutes prior to their arrival.,Emma is at the rare of the bus. Ben will wake her up at 4.15. They are going to arrive to NY around 4.30 PM.
"Jesse, Melvin, Lee and Maxine are going to take part in the Christmas charity action of the foundation called Refuge, which helps women and children who escape from abuse.","Jesse, Melvin, Lee and Maxine are going to do something for the Refuge, a charity that helps women and children who escape from abuse. They will choose a list of items from which they will chip in."
Mary ran out of money. Carter is going to lend her some in an hour.,Mary is broke. Carter will lend
"Paula helped Charlotte with correct pronunciation of ""Natal lily"".","Charlotte asks Paula how to pronounce the name of the plant, Natal Lily. Paula tells her that the stress on the second syllable is 2nd syllable"
Jack and May will drink cocktails later.,May and Jack are going to have a drink later.
Margaret is suffering from a terrible headache and wants Jack to buy her some painkillers. ,Margaret has a terrible headache
Serge is on his way to pick up the film equipment for the shooting tonight. Andrei and Serge are late with a large payment to the company. Serge and Andrei will try to use the credit card to pay the company.,Sergei is on his way to pick up the film equipment for tonite's shooting. He and Andrei have an outstanding bill to pay with the company. They will see when they get there
Martina advises against getting a hamster. ,Janice will not get her son a hamster for his birthday. Martina
Mary has played DA Inquisition. Lucas has played DA II. Daniel started playing DA Inquisition.,"Mary, Daniel and Lucas have all played DA II Inquisition. Daniel has just started and is trying to get used to the mechanics. Mary was sceptical at first, but now she loves it"
Judy thinks she's always attracted to bad guys.,"Judy is always attracted to jerks. It didn't work out with Andrew. Bruce is sweet, but Judy doesn't feel"
Riley and James watch Chloe on tv undergoing a metamorphosis.,Chloe is on TV. She is on a programme in which women undergo a
Tina will catch the evening flight back home. Ala is on her way to the meeting. She will let Tina know how it went.,Ala is on his way to a meeting. Tina is at the airport. She will catch the evening flight back home. The Emirate staff looks like movie stars.
"Sebastian is very happy with his life, and shares this happiness with Kevin.",It's been a year since Sebastian and his family moved to a new place. Sebastian is satisfied with his decisions. Kevin wishes he had someone like Sebastian by his side.
Son is coming to see his parents' this weekend.,Son will try to come home this weekend. Frank will tell his mother that he will come and he will tell
"Ola is in Cuba and is enjoying her trip. She has problems with connectivity there. Momo has recovered from her injury. Ola doesn't like the clothes in Cuba. Ola will try to find a blouse for mum in Cuba, as Kate suggested.",Ola is in Cuba. Momo has recovered from her injury and is frolicking again. Ola is looking for a scarf for Momo. She will try to find one for her mother.
Mike will ask Mary for John's new number.,Ann doesn't have new
Joseph has sent Ella a photo of Wujek Janek's twin baby cows. Ella is delighted.,Joseph sends Ella a picture of a pair of baby cows. Wujek
Josh thinks Stephen accidentally took his notebook. Jack has it and will bring it tomorrow.,Josh accidentally took Stephen's notebook home. Jack will bring it tomorow to Stephen and Josh
"Adele got a new biscuit Labrador Chewy that is 4 months. Her cats keep their distance, and Poppy and Lulu seem to mother Chewy and Speedy wants to play.","Adele got a new 4-month-old pup biscuit lab called Bones. The cats keep their distance, Poppy and Lulu seem to mother him and Speedy wants to play."
Kristian and Tabora are playing a game about what they like best.,"Kristian and Tabora are playing games now. They are playing ""Adidas or Nike"
